id,property_id,rating_count,city
"1","1098130","47","Coorg"
"2","1098132","41","Ludhiana"
"3","1098136","49","Kodaikanal"
"4","1099100","10","Dharamshala"
"5","1102736","1","Jaipur"
"6","1116502","16","Hyderabad"
"7","1116506","16","Hyderabad"
"8","1116532","91","Leh"
"9","1116552","32","Goa"
"10","1126600","16","Gurgaon"
"11","1126614","16","Ghaziabad"
"12","1126636","13","Lucknow"
"13","1126660","16","Ghaziabad"
"14","1132516","23","Lucknow"
"15","1136688","5","Lucknow"
"16","1136714","16","Hyderabad"
"17","1136746","29","Lucknow"
"18","1136758","5","Coimbatore"
"19","1136762","10","Lucknow"
"20","1136788","15","Goa"
"21","1136798","75","Leh"
"22","1136848","50","Kolkata"
"23","1136860","79","Leh"
"24","1136866","12","Lachen"
"25","1136874","6","Keonjhar"
"26","1136972","7","Kullu"
"27","1137002","34","Deoghar"
"28","122962","1","Goa"
"29","122969","1","Goa"
"30","123007","1","Dharamshala"
"31","123077","1","Jaipur"
"32","123130","140","Kochi"
"33","123139","613","Kolkata"
"34","123148","457","Kollam"
"35","123152","74","Kovalam"
"36","1282126","39","Kodaikanal"
"37","1282152","28","Kochi"
"38","1282194","2","Lonavala"
"39","1293550","1","Indore"
"40","1298908","1","Indore"
"41","1323058","1","Indore"
"42","1323066","1","Indore"
"43","1323140","49","Goa"
"44","1323148","1","Indore"
"45","1323164","1","Hissar"
"46","1323168","1","Indore"
"47","1323172","1","Indore"
"48","1323182","1","Indore"
"49","1323188","1","Indore"
"50","1323192","1","Indore"
"51","1323194","1","Indore"
"52","1323200","1","Indore"
"53","1323252","27","Daman"
"54","1323256","167","Kodaikanal"
"55","1323266","51","Daman"
"56","1323296","19","Goa"
"57","1323302","28","Dahej"
"58","1323308","7","Dahej"
"59","1323318","39","Dahej"
"60","1323358","7","Kozhikode"
"61","1323482","1","Jaipur"
"62","1323506","26","Chennai"
"63","1323564","23","Daman"
"64","1323694","36","Coimbatore"
"65","1323698","23","Chennai"
"66","1323700","43","Goa"
"67","1323702","45","Goa"
"68","1323704","50","Chennai"
"69","1323708","1","Jaipur"
"70","1323716","6","Coimbatore"
"71","1323720","23","Coimbatore"
"72","1323722","1","Indore"
"73","1323724","41","Coimbatore"
"74","1323726","41","Coimbatore"
"75","1323728","44","Coimbatore"
"76","1323732","20","Coimbatore"
"77","1323734","14","Coimbatore"
"78","1323738","11","Coimbatore"
"79","1323744","14","Coimbatore"
"80","1323756","39","Coonoor"
"81","1323758","18","Coorg"
"82","1323760","3","Coonoor"
"83","1323762","12","Coonoor"
"84","1323766","42","Coonoor"
"85","1323768","27","Coonoor"
"86","1323774","30","Coorg"
"87","1323778","7","Coorg"
"88","1323780","38","Coorg"
"89","1323782","20","Kochi"
"90","1323784","19","Kochi"
"91","1323786","3","Kochi"
"92","1323792","37","Kochi"
"93","1323802","11","Coonoor"
"94","1323808","1","Jaipur"
"95","1323818","18","Diu"
"96","1323836","1","Hosur"
"97","1323838","1","Hosur"
"98","1323854","15","Jaipur"
"99","1323856","36","Jaipur"
"100","1323860","49","Jodhpur"
"101","1323922","43","Kochi"
"102","1323926","30","Kochi"
"103","1323928","22","Kochi"
"104","1323930","46","Kodaikanal"
"105","1323934","3","Kochi"
"106","1323936","3","Kodaikanal"
"107","1323938","18","Kochi"
"108","1323940","48","Kodaikanal"
"109","1323944","15","Kochi"
"110","1323946","22","Kodaikanal"
"111","1323948","7","Kochi"
"112","1323950","17","Kodaikanal"
"113","1323952","20","Kodaikanal"
"114","1323954","37","Kodaikanal"
"115","1323956","30","Kodaikanal"
"116","1323958","45","Kodaikanal"
"117","1323962","43","Kodaikanal"
"118","1323970","7","Kodaikanal"
"119","1323980","42","Kodaikanal"
"120","1323988","29","Kolkata"
"121","1323994","6","Kolkata"
"122","1324026","1","Jaipur"
"123","1324042","8","Kolkata"
"124","1324052","40","Kolkata"
"125","1324100","21","Jaisalmer"
"126","1324104","23","Jaisalmer"
"127","1324128","16","Jaisalmer"
"128","1324136","24","Jaisalmer"
"129","1324140","13","Jaisalmer"
"130","1324178","17","Leh"
"131","1324226","130","Kodaikanal"
"132","1324234","224","Kodaikanal"
"133","1324248","66","Kodaikanal"
"134","1324324","50","Dhanbad"
"135","1324350","19","Chandigarh"
"136","1324388","4","Goa"
"137","1324404","1","Jaipur"
"138","1324440","1","Jaipur"
"139","1324442","15","Ghaziabad"
"140","1324448","21","Ghaziabad"
"141","1324450","39","Kolkata"
"142","1324452","13","Kolkata"
"143","1324474","48","Kakinada"
"144","1324492","1","Jaipur"
"145","1324538","2","Dehradun"
"146","1324634","33","Kodaikanal"
"147","1324650","49","Kodaikanal"
"148","1324654","33","Kodaikanal"
"149","1324656","22","Kodaikanal"
"150","1324674","29","Coorg"
"151","1324676","173","Jaipur"
"152","1324700","21","Hyderabad"
"153","1324706","1","Jaipur"
"154","1324710","16","Hyderabad"
"155","1324712","16","Hyderabad"
"156","1324714","16","Hyderabad"
"157","1324718","16","Hyderabad"
