id,property_id,rating_count,city,price
"1","1098130","47","Coorg","837"
"2","1098132","41","Ludhiana","896"
"3","1098136","49","Kodaikanal","680"
"4","1099100","10","Dharamshala","677"
"5","1102736","1","Jaipur","617"
"6","1116502","16","Hyderabad","632"
"7","1116506","16","Hyderabad","597"
"8","1116532","91","Leh","936"
"9","1116552","32","Goa","729"
"10","1126600","16","Gurgaon","932"
"11","1126614","16","Ghaziabad","703"
"12","1126636","13","Lucknow","928"
"13","1126660","16","Ghaziabad","656"
"14","1132516","23","Lucknow","865"
"15","1136688","5","Lucknow","602"
"16","1136714","16","Hyderabad","518"
"17","1136746","29","Lucknow","853"
"18","1136758","5","Coimbatore","916"
"19","1136762","10","Lucknow","791"
"20","1136788","15","Goa","858"
"21","1136798","75","Leh","944"
"22","1136848","50","Kolkata","853"
"23","1136860","79","Leh","827"
"24","1136866","12","Lachen","535"
"25","1136874","6","Keonjhar","552"
"26","1136972","7","Kullu","696"
"27","1137002","34","Deoghar","564"
"28","122962","1","Goa","664"
"29","122969","1","Goa","599"
"30","123007","1","Dharamshala","660"
"31","123077","1","Jaipur","569"
"32","123130","140","Kochi","2233"
"33","123139","613","Kolkata","3842"
"34","123148","457","Kollam","3952"
"35","123152","74","Kovalam","963"
"36","1282126","39","Kodaikanal","828"
"37","1282152","28","Kochi","942"
"38","1282194","2","Lonavala","667"
"39","1293550","1","Indore","615"
"40","1298908","1","Indore","849"
"41","1323058","1","Indore","776"
"42","1323066","1","Indore","682"
"43","1323140","49","Goa","782"
"44","1323148","1","Indore","924"
"45","1323164","1","Hissar","549"
"46","1323168","1","Indore","634"
"47","1323172","1","Indore","772"
"48","1323182","1","Indore","911"
"49","1323188","1","Indore","626"
"50","1323192","1","Indore","894"
"51","1323194","1","Indore","630"
"52","1323200","1","Indore","820"
"53","1323252","27","Daman","1000"
"54","1323256","167","Kodaikanal","2741"
"55","1323266","51","Daman","907"
"56","1323296","19","Goa","753"
"57","1323302","28","Dahej","904"
"58","1323308","7","Dahej","585"
"59","1323318","39","Dahej","544"
"60","1323358","7","Kozhikode","652"
"61","1323482","1","Jaipur","723"
"62","1323506","26","Chennai","1000"
"63","1323564","23","Daman","978"
"64","1323694","36","Coimbatore","638"
"65","1323698","23","Chennai","945"
"66","1323700","43","Goa","659"
"67","1323702","45","Goa","711"
"68","1323704","50","Chennai","514"
"69","1323708","1","Jaipur","649"
"70","1323716","6","Coimbatore","982"
"71","1323720","23","Coimbatore","887"
"72","1323722","1","Indore","803"
"73","1323724","41","Coimbatore","580"
"74","1323726","41","Coimbatore","811"
"75","1323728","44","Coimbatore","570"
"76","1323732","20","Coimbatore","726"
"77","1323734","14","Coimbatore","654"
"78","1323738","11","Coimbatore","617"
"79","1323744","14","Coimbatore","834"
"80","1323756","39","Coonoor","574"
"81","1323758","18","Coorg","825"
"82","1323760","3","Coonoor","856"
"83","1323762","12","Coonoor","984"
"84","1323766","42","Coonoor","608"
"85","1323768","27","Coonoor","815"
"86","1323774","30","Coorg","819"
"87","1323778","7","Coorg","908"
"88","1323780","38","Coorg","760"
"89","1323782","20","Kochi","559"
"90","1323784","19","Kochi","804"
"91","1323786","3","Kochi","804"
"92","1323792","37","Kochi","955"
"93","1323802","11","Coonoor","879"
"94","1323808","1","Jaipur","782"
"95","1323818","18","Diu","975"
"96","1323836","1","Hosur","996"
"97","1323838","1","Hosur","921"
"98","1323854","15","Jaipur","736"
"99","1323856","36","Jaipur","962"
"100","1323860","49","Jodhpur","726"
"101","1323922","43","Kochi","813"
"102","1323926","30","Kochi","887"
"103","1323928","22","Kochi","544"
"104","1323930","46","Kodaikanal","771"
"105","1323934","3","Kochi","851"
"106","1323936","3","Kodaikanal","538"
"107","1323938","18","Kochi","683"
"108","1323940","48","Kodaikanal","806"
"109","1323944","15","Kochi","861"
"110","1323946","22","Kodaikanal","802"
"111","1323948","7","Kochi","510"
"112","1323950","17","Kodaikanal","745"
"113","1323952","20","Kodaikanal","570"
"114","1323954","37","Kodaikanal","986"
"115","1323956","30","Kodaikanal","656"
"116","1323958","45","Kodaikanal","822"
"117","1323962","43","Kodaikanal","911"
"118","1323970","7","Kodaikanal","945"
"119","1323980","42","Kodaikanal","871"
"120","1323988","29","Kolkata","792"
"121","1323994","6","Kolkata","676"
"122","1324026","1","Jaipur","762"
"123","1324042","8","Kolkata","549"
"124","1324052","40","Kolkata","513"
"125","1324100","21","Jaisalmer","887"
"126","1324104","23","Jaisalmer","725"
"127","1324128","16","Jaisalmer","953"
"128","1324136","24","Jaisalmer","720"
"129","1324140","13","Jaisalmer","590"
"130","1324178","17","Leh","972"
"131","1324226","130","Kodaikanal","2849"
"132","1324234","224","Kodaikanal","2698"
"133","1324248","66","Kodaikanal","745"
"134","1324324","50","Dhanbad","602"
"135","1324350","19","Chandigarh","974"
"136","1324388","4","Goa","971"
"137","1324404","1","Jaipur","656"
"138","1324440","1","Jaipur","827"
"139","1324442","15","Ghaziabad","680"
"140","1324448","21","Ghaziabad","836"
"141","1324450","39","Kolkata","958"
"142","1324452","13","Kolkata","705"
"143","1324474","48","Kakinada","902"
"144","1324492","1","Jaipur","770"
"145","1324538","2","Dehradun","817"
"146","1324634","33","Kodaikanal","833"
"147","1324650","49","Kodaikanal","811"
"148","1324654","33","Kodaikanal","659"
"149","1324656","22","Kodaikanal","549"
"150","1324674","29","Coorg","626"
"151","1324676","173","Jaipur","2278"
"152","1324700","21","Hyderabad","656"
"153","1324706","1","Jaipur","524"
"154","1324710","16","Hyderabad","719"
"155","1324712","16","Hyderabad","747"
"156","1324714","16","Hyderabad","682"
"157","1324718","16","Hyderabad","611"
"158","1324720","16","Hyderabad","759"
"159","1324726","26","Kurnool","609"
"160","1324736","1","Digha","727"
"161","1324754","4","Ghaziabad","703"
"162","1324788","26","Jabalpur","831"
"163","1324790","22","Gangtok","591"
"164","1324792","3","Kothamangalam","540"
"165","1324800","148","Kochi","2893"
"166","1324806","16","Jabalpur","660"
"167","1324808","9","Darjeeling","944"
"168","1324816","4","Kochi","548"
"169","1324850","12","Kausani","634"
"170","1324860","25","Jaipur","773"
"171","1324868","20","Jaipur","750"
"172","1324952","42","Kolkata","505"
"173","1324966","19","Kolkata","928"
"174","1324970","32","Kolkata","638"
