id,property_id,Toiletries,Bedside Lamp,Luggage Rack,Air Conditioning,Television,Internet / Broadband,Telephone,Refrigerator,Free Wi-Fi,Mini Bar,Room Heater,Writing Desk / Study Table,Wake-Up Call Service
"1","334539","1","0","1","0","0","0","0","0","0","0","0","0","0"
"2","1358354","0","0","0","1","1","0","0","0","0","0","0","1","1"
"3","1358804","0","0","0","1","1","0","0","0","0","0","0","0","1"
"4","1324474","0","0","0","1","1","0","1","0","0","1","0","0","0"
"5","354020","0","0","0","1","1","1","1","0","0","0","0","0","0"
"6","719913","0","0","1","1","0","1","0","0","1","0","0","1","0"
"7","726205","0","0","0","0","1","0","0","0","0","0","0","0","0"
"8","307380","0","0","1","0","1","0","1","0","0","0","0","0","0"
"9","725978","0","0","0","1","1","0","0","0","0","0","0","0","0"
"10","159216","0","0","1","1","1","1","1","0","0","0","0","0","0"
"11","1324140","0","0","0","1","1","0","1","0","0","0","0","0","0"
"12","1327424","0","0","0","1","1","0","0","0","0","0","0","0","0"
"13","1360702","1","0","0","0","0","0","0","0","0","0","1","0","0"
"14","719807","1","0","1","0","0","1","0","0","0","0","0","1","0"
"15","1326428","0","0","0","0","1","0","0","0","1","0","0","0","0"
"16","713044","0","0","0","1","1","1","1","0","1","0","0","0","0"
"17","720011","0","0","0","0","1","1","1","0","1","1","0","1","0"
"18","708505","0","0","1","0","1","0","0","0","0","0","0","0","0"
"19","744396","1","0","0","1","1","1","1","0","0","0","0","0","0"
"20","718969","0","0","1","1","1","0","0","0","0","0","0","0","0"
"21","1326904","0","0","0","1","1","0","0","0","0","0","0","0","0"
"22","1327378","0","0","0","1","1","0","0","0","0","0","0","1","1"
"23","1345394","0","0","1","1","1","0","0","0","0","0","1","1","1"
"24","709175","0","0","0","1","1","0","1","0","0","0","0","1","0"
"25","707971","0","0","0","1","1","0","1","0","0","0","0","1","0"
"26","741826","0","0","0","1","0","1","0","0","1","0","0","0","0"
"27","40632","0","0","0","1","1","0","1","0","0","1","0","0","0"
"28","868958","0","0","1","0","1","0","0","0","1","0","0","0","0"
"29","739170","1","0","0","0","0","0","0","0","0","0","0","0","0"
"30","718842","0","0","0","1","1","0","1","0","1","0","0","1","0"
"31","761020","0","0","0","0","1","1","1","0","0","0","0","0","0"
"32","710762","0","0","1","1","1","1","1","0","1","0","0","0","0"
"33","720532","0","0","0","1","1","0","0","0","0","0","0","0","0"
"34","714202","0","0","0","0","1","1","1","0","0","0","0","0","0"
"35","721597","0","0","0","0","1","0","1","0","0","0","0","0","0"
"36","314324","0","0","0","1","1","0","1","0","0","0","0","0","0"
"37","721600","0","0","0","1","1","0","1","0","0","0","0","0","0"
"38","1350148","0","0","0","1","1","0","0","0","0","0","1","0","1"
"39","1358848","0","0","0","1","1","0","0","0","0","0","0","1","1"
"40","1350146","0","0","0","0","1","0","0","0","0","0","1","0","1"
"41","1357916","0","0","0","1","1","0","0","0","0","1","0","0","0"
"42","380660","0","0","0","1","1","1","1","0","0","0","1","1","0"
"43","319439","0","0","0","0","0","0","1","0","0","0","0","0","0"
"44","955482","0","0","0","1","1","0","0","0","0","0","0","0","0"
"45","708747","0","0","0","1","0","1","0","0","0","0","0","1","0"
"46","712590","0","0","1","1","0","0","1","0","0","0","0","0","0"
"47","708612","0","0","0","1","1","1","1","0","1","0","0","1","0"
"48","40695","0","0","0","1","0","1","1","0","0","0","0","0","0"
"49","378224","0","0","1","1","1","0","1","0","0","0","0","0","0"
"50","1330688","1","0","0","0","0","0","1","0","1","0","0","0","0"
"51","742754","0","0","0","1","1","0","0","0","0","0","0","0","0"
"52","711104","0","0","1","1","0","0","0","0","0","0","0","0","0"
"53","709041","0","0","1","1","1","1","1","0","0","0","0","1","0"
"54","297783","0","0","0","1","1","1","1","0","1","1","1","1","0"
"55","40700","0","1","0","1","1","1","1","0","0","1","0","0","0"
"56","708847","1","0","1","0","0","0","0","0","0","0","0","0","0"
"57","721458","0","0","0","1","1","1","1","0","0","1","0","0","0"
"58","171444","0","0","0","1","1","0","0","0","0","0","0","0","0"
"59","716894","0","0","0","1","1","1","1","0","0","1","0","0","0"
"60","1323860","0","0","0","1","1","0","1","0","0","0","0","1","0"
"61","718412","0","0","0","0","1","0","0","0","0","0","0","1","0"
"62","753330","0","0","1","1","1","1","0","0","1","1","0","0","0"
"63","1351306","0","0","1","0","1","0","0","0","0","0","0","0","0"
"64","1345504","0","0","0","0","1","0","1","0","0","0","0","0","1"
"65","867854","0","0","0","1","1","0","1","0","0","0","1","0","0"
"66","713046","0","0","0","1","1","0","1","0","0","0","0","1","0"
"67","710504","0","0","1","0","1","0","1","0","0","0","0","0","0"
"68","708552","1","0","1","0","1","0","0","0","0","0","0","0","0"
"69","722437","0","0","0","1","1","0","1","0","0","0","0","0","0"
"70","718239","0","0","1","1","1","0","1","0","0","0","0","0","0"
"71","711094","0","0","0","1","1","1","1","0","1","0","0","0","0"
"72","309876","0","0","1","0","0","0","1","0","1","0","0","1","0"
"73","42523","0","0","1","1","1","0","1","0","0","0","0","0","0"
"74","715186","0","0","0","0","1","0","0","0","1","0","0","1","0"
"75","40718","0","0","0","1","1","1","1","1","0","0","0","0","0"
"76","708937","0","0","0","1","1","1","1","0","1","1","0","1","0"
"77","1358344","0","0","0","1","1","0","0","0","0","0","0","0","1"
"78","709185","0","0","1","0","0","1","1","0","0","0","0","0","0"
"79","721619","0","0","0","0","1","0","0","0","0","0","0","0","0"
"80","1348356","0","0","0","1","1","0","0","0","0","0","0","0","0"
"81","1330102","0","0","0","0","1","0","0","0","1","0","0","0","0"
"82","42520","0","0","1","1","0","0","0","0","0","0","0","1","0"
"83","1327342","0","0","0","1","1","0","0","0","0","0","1","1","1"
"84","40642","0","0","0","1","1","0","1","0","0","0","0","0","0"
"85","721617","0","0","0","1","1","0","1","0","0","0","0","0","0"
"86","714042","0","0","0","1","1","1","1","0","0","0","0","0","0"
"87","389428","0","0","0","0","1","0","1","0","0","0","0","0","0"
"88","841820","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","956224","0","0","0","1","1","0","0","0","0","0","0","1","0"
"90","327576","0","0","1","0","1","0","1","0","0","0","0","0","0"
"91","718963","0","0","0","1","1","0","0","0","0","0","0","0","0"
"92","865958","0","0","0","0","0","0","1","0","0","0","0","0","0"
"93","742812","0","0","1","1","1","0","1","0","0","0","0","0","1"
"94","714952","0","0","0","1","1","0","0","0","0","0","0","0","0"
"95","334041","0","0","0","1","1","1","1","0","0","1","0","1","0"
"96","1323936","0","0","0","0","1","0","1","0","0","0","0","1","0"
"97","378536","0","0","1","0","0","0","1","0","0","0","0","0","0"
"98","714872","0","0","0","1","1","0","0","0","1","0","0","0","0"
"99","841080","0","0","0","0","0","0","0","0","0","0","0","1","0"
"100","716327","0","0","0","1","0","0","1","0","0","0","0","1","0"
"101","722846","0","0","0","0","1","1","0","0","0","0","0","0","0"
"102","957584","0","0","0","1","1","0","1","0","1","0","0","0","0"
"103","987998","0","0","0","0","1","0","0","0","0","0","0","0","0"
"104","712272","0","0","0","0","0","0","0","0","0","0","0","1","0"
"105","722830","0","0","0","1","1","0","0","0","1","0","0","0","0"
"106","52724","0","0","0","1","1","1","1","0","0","0","0","0","0"
"107","1325176","0","0","0","0","1","0","1","0","0","0","1","1","0"
"108","385357","0","0","1","0","0","0","0","0","0","0","0","1","0"
"109","712004","0","0","0","0","1","0","1","0","0","0","0","0","0"
"110","335241","0","0","0","0","1","1","1","0","0","0","0","1","0"
"111","707570","0","0","0","0","0","1","1","0","0","1","0","0","0"
"112","741054","0","0","0","1","1","0","1","0","0","0","0","0","0"
"113","42530","0","0","1","1","1","1","1","0","0","0","0","0","0"
"114","388580","0","0","0","0","1","1","1","0","0","0","1","1","1"
"115","42544","0","0","1","0","1","1","1","0","1","0","0","0","0"
"116","40751","1","0","0","0","0","0","0","0","0","0","0","1","0"
"117","42096","0","0","0","1","1","1","1","0","0","0","0","0","0"
"118","423289","0","0","0","0","1","1","1","0","0","1","0","0","0"
"119","708962","0","0","0","1","1","0","1","0","0","0","0","0","0"
"120","724270","0","0","1","0","1","0","0","0","0","0","0","0","0"
"121","206634","0","0","0","1","1","1","1","0","0","1","0","1","0"
"122","315356","0","0","1","1","0","0","1","0","0","0","1","0","0"
"123","722121","1","0","1","0","1","1","1","0","0","0","0","0","0"
"124","730352","0","0","0","1","1","0","1","0","0","0","0","0","0"
"125","1327982","1","0","0","1","1","0","0","0","0","0","0","0","0"
"126","708602","0","0","0","1","1","0","1","0","0","0","0","0","0"
"127","40756","0","0","0","1","1","1","1","0","0","1","1","1","0"
"128","869770","1","0","0","1","1","1","0","0","0","0","0","1","0"
"129","1345070","0","0","1","1","1","1","1","0","0","0","0","0","0"
"130","867158","0","0","0","1","1","0","1","0","0","1","0","0","0"
"131","956850","0","0","0","1","1","0","1","0","0","0","0","0","0"
"132","389510","0","1","0","1","1","1","1","0","0","0","0","1","0"
"133","160065","0","0","1","1","1","0","1","0","0","0","0","0","1"
"134","1327086","0","0","0","1","1","0","0","0","0","0","0","0","1"
"135","714870","0","0","0","1","1","1","1","0","0","1","0","1","1"
"136","378858","0","0","0","0","1","0","1","0","0","0","0","1","0"
"137","1347392","0","0","0","1","1","0","0","0","0","0","0","1","1"
"138","732200","0","0","0","1","1","0","0","0","0","0","0","0","0"
"139","719629","0","0","0","1","1","1","1","0","0","0","0","1","0"
"140","378722","1","0","1","0","0","0","0","0","0","0","0","0","0"
"141","331930","0","0","0","1","1","0","0","0","0","0","0","1","0"
"142","731885","0","0","0","1","1","1","1","0","0","0","0","0","0"
"143","957194","0","0","0","1","1","0","1","0","1","0","0","0","0"
"144","716481","0","0","0","1","1","0","1","0","0","1","0","0","0"
"145","1326070","1","0","0","1","1","0","0","0","0","0","0","0","0"
"146","378969","1","0","1","0","1","0","1","0","0","0","0","0","0"
"147","316297","0","0","0","1","1","0","1","0","0","0","0","1","0"
"148","729434","0","0","0","0","1","0","1","0","0","0","0","0","0"
"149","722813","0","0","0","1","1","0","1","1","0","0","0","0","0"
"150","719346","1","0","1","0","1","0","1","0","0","0","0","0","0"
