id,property_id,property_name,city,province,area,state,address,room_count,room_type, tad_review_rating
"1","334539","Hotel Jivan Jyoti","Kalimpong","Kalimpong","'Rishi Road-Highway 12'","WestBengal","9th Mile, Kalimpong","9","Standard Room","2.5"
"2","1358354","OYO Premium Kalimati Road Jamshedpur","Jamshedpur","Jamshedpur",,"Jharkhand","New Kalimati Road, Kasidih, Sakchi","0",,"0"
"3","1358804","OYO Rooms Bera Road","Jaisalmer","Jaisalmer",,"Rajasthan","Opposite Nagarpalika, Near Pushkarna Bera, Postal Colony","0",,"0"
"4","1324474","Grand Kakinada by GRT Hotels","Kakinada","Kakinada","'Cinema Road'","AndhraPradesh","11-3-11 Veterinary Hospital road,Ramarao peta","85","Business Room","4.5"
"5","354020","Hotel Gorakh Haveli","Jaisalmer","Jaisalmer","'Near Jaisalmer Golden Fort'","Rajasthan","Near Fort First Gate, Dhibbapara","17","Deluxe","4"
"6","719913","Mohan Niwas","Jodhpur","Jodhpur","'Ratanada Petrol Pump'","Rajasthan","High Court Colony, Jodhpur. Rajasthan (India).","5","Deluxe Ac Room","5"
"7","726205","Hotel Navrang Kalka","Kalka","Kalka","'Near Kalka Railway Station'","Haryana","SCO 44 - 45, New Grain Market, Kalka","8","Super Deluxe Room","3"
"8","307380","Hotel Gopi Nivas Grand","Kanyakumari","Kanyakumari","'Near Vivekananda Rock Memorial'","TamilNadu","2-18 A6, Near Seashore","0","Standard Non A/c Room","0"
"9","725978","Polo Inn Guest House","Jodhpur","Jodhpur","'Paota'","Rajasthan","90, 1st Polo, Mandar Road, in Front of Suncity Hospital, Jodhpur","0","AC Room","4.1"
"10","159216","Hotel The Vaishnodevi","Katra","Katra","'Reasi Road'","JammuandKashmir","Opp: Petrol Pump Vaishno Devi, Katra","40","Royal Suite","4"
"11","1324140","Vista Rooms at Jaisalmer Fort","Jaisalmer","Jaisalmer","'Near Jaisalmer Golden Fort'","Rajasthan","Mohangarh Rd,Amar Sagar Pol","20","Standard Room AC","3.8"
"12","1327424","Kumaran Guest House- Karaikal","Karaikal","Karaikal","'Dr. Ambedkar Street'","TamilNadu","160,Thirunallar Road Karaikal","19","Double Bed Room","2.1"
"13","1360702","Manvar Desert Camp","Jodhpur","Jodhpur",,"Rajasthan","261, Ummaid Heritage, Behind Ummaid Bhawan Palace","0",,"0"
"14","719807","The Blue House Guest House","Jodhpur","Jodhpur","'Old City'","Rajasthan","Sumer Bhawan' Moti chowk , Jodhpur, Rajasthan.","21","Standard","4"
"15","1326428","Kavvayi Beach House","Kannur","Kannur","'Payyannur'","Kerala","Trikaripur Kadappurum(PO),Trikaripur, Kasaragod (District)","8","Deluxe Room Non AC","4.5"
"16","713044","Sadhoo Inn","Kannur","Kannur","'Kannur Railway Station'","Kerala","Sadhoo Company Road","20","Deluxe Room","4.5"
"17","720011","Hotel Prem Plaza","Karnal","Karnal","'Near Railway Station'","Haryana","Railway Road","20","Executive Room","4.5"
"18","708505","Raman Palace","Jodhpur","Jodhpur","'Ratanada Petrol Pump'","Rajasthan","Opp. Kesar Bagh, Shiv Road, Ratanada, JODHPUR- 342001","20","Economy Room","3.5"
"19","744396","Thai Resort","Kannur","Kannur","'Near Parassinikadavu Sri Muthappan Temple'","Kerala","Nr.Sri Muthappan Temple, Parassinikadavu","6","Standard Room Non AC","3.6"
"20","718969","Hotel Manglam","Jaisalmer","Jaisalmer","'City Centre'","Rajasthan","out side amar sagar gate,hanuman circle.","9","Deluxe Room","5"
"21","1326904","Hotel Arul Inn","Karaikal","Karaikal","'Nagapattinam Highway'","TamilNadu","Nagore Main Road, Ambalchatram, Karaikal","30","Deluxe Room","4"
"22","1327378","OYO Rooms Near Jaisalmer Sunset Point","Jaisalmer","Jaisalmer","'City Centre'","Rajasthan","Acalvanshi Colony, Opp. Vyas Chattree (Sunset point)","15","Standard Room AC","2.2"
"23","1345394","OYO Premium Near Civil Hospital Karnal","Karnal","Karnal","'Kunjpura Road'","Haryana","Near Civil Hospital, Kunjpura Road","15","Standard Room AC","2.6"
"24","709175","Utsav Hotel","Jodhpur","Jodhpur","'Near Railway Station'","Rajasthan","Raibahadur Bazar, M. G. Hospital Road,","20","Deluxe Room","3"
"25","707971","Hotel Ajanta Haveli","Jaisalmer","Jaisalmer","'City Centre'","Rajasthan","37, C.V.S. Colony, Near Hanuman Circle,","22","Deluxe Room","4"
"26","741826","Singhvi's Haveli","Jodhpur","Jodhpur","'Old City'","Rajasthan","Navchokiya, Ramdeo Ji ka chowk, Jodhpur","11","Standard Room AC","4.5"
"27","40632","Hotel Paradise Jaisalmer","Jaisalmer","Jaisalmer","'Inside Jaisalmer Fort'","Rajasthan","Opp Royal Palace Fort, Jaisalmer.","23","Standard A/C","4"
"28","868958","Mangal Haveli Guest House","Jodhpur","Jodhpur","'Old City'","Rajasthan","killi khana fort road near clock tower","12","Standard Room Non AC","4"
"29","739170","Subash Guest House","Katra","Katra","'City Bus Terminus'","JammuandKashmir","SUBASH GUEST HOUSE New Bus stand Paharganj, Katra-182301","7","Double Room","4.7"
"30","718842","Vansh Villa","Jaisalmer","Jaisalmer","'City Centre'","Rajasthan","Near Amar Sagar Gate Behind Hotel Mandir Palace.","11","Deluxe Ac","3.5"
"31","761020","Hotel Rangyul Kargil","Kargil","Kargil",,"JammuandKashmir","Near District Session Court,Baroo colony kargil","0",,"0"
"32","710762","The Citi Inn Hotel","Jamshedpur","Jamshedpur","'Mango'","Jharkhand","NH33, Pardih Chowk, Mango","35","Single Room","3"
"33","720532","Club Mahindra Jaisalmer","Jaisalmer","Jaisalmer","'Near Jaisalmer Golden Fort'","Rajasthan","New Civil Airport Road","0","Standard Room","4"
"34","714202","Hotel Sky Palace","Kannur","Kannur","'Kannur Railway Station'","Kerala","Metro Tower, Thavakkara Road, Kannur","25","Standard Room Non AC","2.5"
"35","721597","Prakriti Kasauli","Kasauli","Kasauli","'Sanawar Hills'","HimachalPradesh","Plot No. 1 Sanwarah, Kasauli , Himachal Pradesh","3","Deluxe Room","4.5"
"36","314324","Hotel Maharaja Residency","Jalandhar","Jalandhar","'Near Railway Road'","Punjab","Plot No. 333/334/335,New Railway Road","30","Super Deluxe Room","4"
"37","721600","S.S.K. INN","Kanchipuram","Kanchipuram","'Gandhi Road'","TamilNadu","No.28,Sangusapet St,C.S.I.Hospital(Way)","75","Double Bed AC","2"
"38","1350148","OYO Rooms Kasauli Hills View","Kasauli","Kasauli","'Garkhal'","HimachalPradesh","VPO Garkhal VPO Garkhal","15","Standard Room AC","2.4"
"39","1358848","OYO Rooms NIFT Near Parassinikadavu Temple Kannur","Kannur","Kannur",,"Kerala","PO Kalliassery, Mangad, Near Snake Park","0",,"0"
"40","1350146","OYO Premium Valley View Kasauli","Kasauli","Kasauli","'Sanawar Hills'","HimachalPradesh","Village Sanawar Solan","15","Premium Room","2.7"
"41","1357916","The Ummed (Formerly The Taj Gateway)","Jodhpur","Jodhpur","'Jodhpur Suburbs'","Rajasthan","Banar Road","0","Jodhpur Deluxe Room","0"
"42","380660","Heritage Kuchaman Haveli","Jodhpur","Jodhpur","'Old City'","Rajasthan","Inside Merti Gate","20","Deluxe Room","3.5"
"43","319439","Kanha Village Eco Resort","Kanha","Kanha","'Village Bodachhapri'","MadhyaPradesh","Village Boda Chhapri Panchayat Mocha Dist. Mandla (MP) INDIA","0","Standard Room - Air Cooled","0"
"44","955482","Hotel Grand Horizon","Jalandhar","Jalandhar","'Near General Bus Terminus'","Punjab","G.T. Road, Near Bus Stand, Opp. Khalsa College Railway Halt, Jalandhar, Punjab 144006","0","Deluxe Room","0"
"45","708747","Kaav Safari Lodge","Kabini","Kabini","'Kabini Backwater'","Karnataka","Malalli Cross, N Belathur, Antharasanthe, H.D. Kote","4","Superior Room","5"
"46","712590","New Blue Homes - Kakinada","Kakinada","Kakinada","'RTC Complex Road'","AndhraPradesh","Dr.No:2-6-81, Near RTC Complex Road 100 Buildings Centre, Kakinada","25","Executive A/C","4"
"47","708612","Hari Niwas","Jodhpur","Jodhpur","'Ratanada Petrol Pump'","Rajasthan","1-8, Karni Bagh, Opp. High Court Colony Jodhpur, Rajasthan, India - 342001","24","Deluxe Ac Room","3.5"
"48","40695","Mandore Luxury Guest House","Jodhpur","Jodhpur","'Mandore'","Rajasthan","Dadawari Lane, Near Mandore Garden, Mandore, Jodhpur.","0","Garden Cottage","0"
"49","378224","Hotel Swastik","Jammu","Jammu","'Raghunath Temple'","JammuandKashmir","Gurudwara Sunder Singh Road | Jammu Tawi, Jammu City 180001, India","25","Deluxe A/C Room","3.5"
"50","1330688","Rainbow Suites","Kannur","Kannur","'Kannur Railway Station'","Kerala","Hotel Rainbow Suites, Opp. Railway Station, Bellard Road","43","Standard Non Ac Room","4.5"
"51","742754","Suprabha Residency","Kalasa","Kalasa","'Kalasa'","Karnataka","Kalasa Horanadu Road, Chikmagalur","0","Deluxe A/C Room","0"
"52","711104","A Home for Nature Lovers","Jambughoda","Jambughoda","'Sarod'","Gujarat","District Panch Mahal Pawan Park Society, Sarod, Sayajigunj Jambughoda, Gujarat","20","A/C Deluxe Rooms","4"
"53","709041","Raj Residency","Kasaragod","Kasaragod","'Kanhangad'","Kerala","Main road, Near alamipally bus terminal, Kanhangad","40","Classy Room","4"
"54","297783","Nirali Dhani","Jodhpur","Jodhpur","'Jodhpur Suburbs'","Rajasthan","Nirali DhaniSiddhanath Circle, Near Chopasni Filter House, Chopasni Road, Jodhpur-342009, Rajasthan (INDIA)","34","Tent Room","4"
